epoch, train_softmax_loss_male_black, train_mean_loss_male_black, train_deviation_loss_male_black, train_softmax_loss_male_white, train_mean_loss_male_white, train_deviation_loss_male_white, train_softmax_loss_female_black, train_mean_loss_female_black, train_deviation_loss_female_black, train_softmax_loss_female_white, train_mean_loss_female_white, train_deviation_loss_female_white, train_age_loss, train_race_loss, train_gender_loss, train_total_loss, train_race_accuracy, train_gender_accuracy, train_MAE
001, 3.872, 8.705, 267.593, 3.874, 8.693, 267.865, 3.872, 8.753, 268.352, 3.872, 8.707, 266.967, 8.693, 0.384, 0.528, 21.555, 80.102, 75.400, 8.693
002, 3.450, 5.873, 107.231, 3.448, 5.862, 107.319, 3.446, 5.867, 107.445, 3.450, 5.882, 107.795, 5.847, 0.137, 0.345, 16.579, 95.195, 84.625, 5.847
003, 3.304, 5.156, 85.471, 3.306, 5.151, 85.301, 3.306, 5.152, 85.589, 3.308, 5.155, 85.735, 5.140, 0.126, 0.260, 15.493, 95.778, 88.546, 5.140
004, 3.220, 4.737, 73.823, 3.216, 4.758, 74.107, 3.223, 4.753, 74.298, 3.215, 4.761, 74.250, 4.738, 0.099, 0.223, 14.856, 96.558, 90.323, 4.738
005, 3.162, 4.537, 68.203, 3.165, 4.545, 68.309, 3.162, 4.549, 68.470, 3.161, 4.552, 68.260, 4.531, 0.089, 0.193, 14.479, 97.188, 91.781, 4.531
006, 3.117, 4.359, 63.436, 3.120, 4.371, 63.766, 3.122, 4.367, 63.458, 3.120, 4.386, 63.931, 4.353, 0.091, 0.181, 14.206, 97.151, 92.279, 4.353
007, 3.077, 4.215, 59.509, 3.078, 4.207, 59.621, 3.079, 4.218, 59.841, 3.078, 4.222, 59.784, 4.207, 0.084, 0.174, 13.946, 97.273, 92.458, 4.207
008, 3.060, 4.154, 57.564, 3.062, 4.156, 57.834, 3.058, 4.155, 57.731, 3.058, 4.170, 57.906, 4.160, 0.083, 0.156, 13.817, 97.339, 93.831, 4.160
009, 3.039, 4.080, 55.810, 3.042, 4.091, 56.194, 3.038, 4.080, 56.091, 3.044, 4.100, 56.368, 4.082, 0.082, 0.152, 13.703, 97.311, 93.568, 4.082
010, 3.002, 3.965, 53.098, 3.004, 3.958, 52.951, 3.004, 3.956, 53.003, 3.001, 3.955, 52.998, 3.967, 0.069, 0.141, 13.464, 97.912, 93.897, 3.967
011, 2.992, 3.908, 52.100, 2.994, 3.926, 52.416, 2.996, 3.921, 52.384, 2.994, 3.922, 52.403, 3.918, 0.071, 0.141, 13.418, 97.668, 94.188, 3.918
012, 2.964, 3.833, 50.035, 2.966, 3.843, 50.162, 2.968, 3.848, 50.195, 2.970, 3.836, 50.251, 3.833, 0.070, 0.141, 13.264, 97.762, 94.076, 3.833
013, 2.965, 3.816, 50.491, 2.963, 3.817, 50.355, 2.958, 3.813, 50.364, 2.961, 3.814, 50.388, 3.804, 0.070, 0.136, 13.240, 97.715, 94.424, 3.804
014, 2.943, 3.757, 48.757, 2.940, 3.745, 48.431, 2.943, 3.750, 48.664, 2.938, 3.739, 48.290, 3.744, 0.063, 0.135, 13.113, 97.997, 94.518, 3.744
015, 2.916, 3.665, 46.565, 2.919, 3.677, 46.561, 2.917, 3.665, 46.456, 2.919, 3.673, 46.676, 3.668, 0.072, 0.128, 12.982, 97.696, 94.790, 3.668
016, 2.911, 3.643, 46.330, 2.909, 3.639, 45.944, 2.910, 3.653, 46.243, 2.903, 3.649, 46.021, 3.648, 0.069, 0.124, 12.927, 97.809, 94.847, 3.648
017, 2.897, 3.596, 44.927, 2.899, 3.594, 44.757, 2.894, 3.592, 44.899, 2.895, 3.601, 44.902, 3.595, 0.061, 0.113, 12.837, 98.006, 95.646, 3.595
018, 2.881, 3.551, 43.941, 2.883, 3.550, 43.966, 2.882, 3.568, 44.114, 2.883, 3.555, 43.964, 3.541, 0.064, 0.121, 12.772, 98.063, 95.072, 3.541
019, 2.872, 3.501, 43.532, 2.867, 3.513, 43.555, 2.871, 3.525, 43.704, 2.868, 3.512, 43.565, 3.499, 0.058, 0.118, 12.701, 98.035, 95.251, 3.499
020, 2.856, 3.467, 41.966, 2.858, 3.480, 42.132, 2.859, 3.474, 42.091, 2.860, 3.483, 42.152, 3.473, 0.054, 0.114, 12.622, 98.279, 95.317, 3.473
021, 2.859, 3.519, 43.127, 2.855, 3.508, 43.042, 2.855, 3.521, 43.142, 2.861, 3.511, 43.216, 3.504, 0.059, 0.116, 12.645, 98.213, 95.148, 3.504
022, 2.832, 3.394, 40.548, 2.834, 3.401, 40.505, 2.834, 3.401, 40.664, 2.833, 3.405, 40.656, 3.395, 0.059, 0.109, 12.489, 98.157, 95.486, 3.395
023, 2.826, 3.369, 40.265, 2.822, 3.370, 40.115, 2.818, 3.362, 40.015, 2.819, 3.372, 40.154, 3.365, 0.062, 0.107, 12.432, 97.988, 95.571, 3.365
024, 2.818, 3.385, 40.371, 2.816, 3.384, 40.255, 2.819, 3.388, 40.473, 2.820, 3.395, 40.537, 3.379, 0.057, 0.099, 12.414, 98.279, 95.956, 3.379
025, 2.804, 3.334, 39.239, 2.803, 3.329, 39.154, 2.808, 3.333, 39.253, 2.801, 3.329, 39.098, 3.325, 0.057, 0.109, 12.341, 98.119, 95.392, 3.325
026, 2.796, 3.282, 38.679, 2.798, 3.281, 38.675, 2.791, 3.279, 38.651, 2.793, 3.279, 38.752, 3.274, 0.062, 0.102, 12.289, 98.119, 95.825, 3.274
027, 2.777, 3.230, 37.490, 2.778, 3.229, 37.489, 2.779, 3.237, 37.570, 2.779, 3.234, 37.449, 3.227, 0.054, 0.101, 12.191, 98.383, 95.646, 3.227
028, 2.778, 3.239, 37.627, 2.782, 3.248, 37.767, 2.779, 3.229, 37.584, 2.781, 3.249, 37.726, 3.239, 0.053, 0.105, 12.205, 98.241, 95.693, 3.239
029, 2.770, 3.226, 37.071, 2.772, 3.232, 37.226, 2.776, 3.225, 37.074, 2.775, 3.229, 37.374, 3.227, 0.057, 0.098, 12.165, 98.082, 96.135, 3.227
030, 2.755, 3.207, 36.271, 2.762, 3.206, 36.323, 2.755, 3.207, 36.292, 2.760, 3.205, 36.527, 3.203, 0.049, 0.099, 12.082, 98.533, 95.834, 3.203
031, 2.749, 3.150, 35.808, 2.748, 3.144, 35.810, 2.750, 3.145, 35.963, 2.748, 3.146, 35.961, 3.150, 0.052, 0.095, 12.032, 98.411, 96.191, 3.150
032, 2.736, 3.140, 35.660, 2.739, 3.149, 35.897, 2.741, 3.153, 35.941, 2.741, 3.147, 35.810, 3.144, 0.055, 0.097, 11.996, 98.326, 96.201, 3.144
033, 2.726, 3.076, 34.228, 2.723, 3.077, 34.314, 2.723, 3.082, 34.401, 2.726, 3.084, 34.535, 3.070, 0.053, 0.095, 11.902, 98.354, 96.088, 3.070
034, 2.715, 3.072, 34.694, 2.716, 3.078, 34.622, 2.717, 3.070, 34.700, 2.718, 3.073, 34.804, 3.076, 0.054, 0.091, 11.873, 98.326, 96.276, 3.076
035, 2.709, 3.078, 34.579, 2.714, 3.083, 34.523, 2.711, 3.084, 34.569, 2.710, 3.088, 34.657, 3.088, 0.054, 0.094, 11.855, 98.260, 96.154, 3.088
036, 2.714, 3.066, 33.892, 2.708, 3.061, 33.968, 2.714, 3.069, 34.114, 2.707, 3.063, 33.925, 3.057, 0.047, 0.096, 11.834, 98.514, 96.248, 3.057
037, 2.705, 3.027, 33.581, 2.705, 3.039, 33.544, 2.702, 3.034, 33.648, 2.706, 3.039, 33.681, 3.030, 0.045, 0.089, 11.794, 98.542, 96.436, 3.030
038, 2.696, 3.035, 34.065, 2.690, 3.023, 33.788, 2.694, 3.027, 33.947, 2.690, 3.014, 33.844, 3.027, 0.053, 0.088, 11.756, 98.289, 96.417, 3.027
039, 2.669, 2.948, 32.228, 2.670, 2.946, 32.180, 2.671, 2.937, 32.108, 2.673, 2.945, 32.155, 2.946, 0.049, 0.083, 11.624, 98.401, 96.709, 2.946
040, 2.673, 2.951, 32.744, 2.679, 2.963, 32.913, 2.677, 2.960, 33.011, 2.681, 2.962, 32.981, 2.955, 0.049, 0.087, 11.668, 98.430, 96.586, 2.955
041, 2.659, 2.939, 32.137, 2.660, 2.938, 32.165, 2.662, 2.948, 32.336, 2.663, 2.946, 32.394, 2.939, 0.047, 0.089, 11.590, 98.542, 96.248, 2.939
042, 2.645, 2.859, 30.734, 2.640, 2.858, 30.420, 2.643, 2.855, 30.504, 2.641, 2.857, 30.518, 2.857, 0.049, 0.088, 11.480, 98.467, 96.285, 2.857
043, 2.630, 2.844, 30.153, 2.631, 2.841, 30.117, 2.631, 2.839, 30.000, 2.630, 2.841, 30.095, 2.839, 0.049, 0.088, 11.424, 98.486, 96.474, 2.839
044, 2.649, 2.876, 31.315, 2.649, 2.872, 31.243, 2.651, 2.883, 31.439, 2.645, 2.869, 31.230, 2.864, 0.046, 0.090, 11.517, 98.618, 96.304, 2.864
045, 2.629, 2.852, 30.062, 2.634, 2.842, 30.162, 2.626, 2.839, 29.995, 2.631, 2.833, 30.042, 2.843, 0.048, 0.090, 11.423, 98.514, 96.615, 2.843
046, 2.629, 2.861, 30.701, 2.628, 2.862, 30.720, 2.628, 2.857, 30.645, 2.625, 2.859, 30.688, 2.858, 0.045, 0.086, 11.419, 98.627, 96.652, 2.858
047, 2.606, 2.792, 29.592, 2.608, 2.792, 29.716, 2.604, 2.785, 29.536, 2.604, 2.785, 29.530, 2.780, 0.048, 0.081, 11.301, 98.430, 96.887, 2.780
048, 2.601, 2.776, 29.312, 2.601, 2.766, 29.347, 2.598, 2.767, 29.326, 2.598, 2.771, 29.295, 2.765, 0.046, 0.081, 11.270, 98.552, 96.784, 2.765
049, 2.606, 2.798, 29.508, 2.599, 2.788, 29.357, 2.603, 2.802, 29.486, 2.600, 2.797, 29.375, 2.790, 0.048, 0.081, 11.287, 98.505, 96.727, 2.790
050, 2.592, 2.764, 29.151, 2.593, 2.760, 29.080, 2.593, 2.762, 29.162, 2.591, 2.766, 29.166, 2.756, 0.047, 0.082, 11.239, 98.458, 96.643, 2.756
051, 2.487, 2.500, 24.752, 2.485, 2.495, 24.615, 2.485, 2.495, 24.715, 2.485, 2.495, 24.710, 2.489, 0.039, 0.073, 10.697, 98.796, 97.075, 2.489
052, 2.431, 2.371, 22.187, 2.429, 2.367, 22.101, 2.431, 2.378, 22.274, 2.426, 2.366, 22.129, 2.364, 0.035, 0.062, 10.405, 98.956, 97.546, 2.364
053, 2.425, 2.369, 22.327, 2.422, 2.361, 22.185, 2.420, 2.359, 22.189, 2.422, 2.366, 22.298, 2.365, 0.036, 0.066, 10.383, 98.966, 97.263, 2.365
054, 2.410, 2.332, 21.567, 2.410, 2.328, 21.549, 2.408, 2.327, 21.470, 2.407, 2.324, 21.563, 2.327, 0.034, 0.063, 10.309, 98.937, 97.621, 2.327
055, 2.399, 2.322, 21.356, 2.398, 2.324, 21.378, 2.399, 2.320, 21.290, 2.403, 2.321, 21.309, 2.328, 0.036, 0.064, 10.273, 98.928, 97.414, 2.328
056, 2.387, 2.297, 21.063, 2.382, 2.294, 20.958, 2.389, 2.297, 21.090, 2.388, 2.296, 21.091, 2.289, 0.036, 0.063, 10.211, 98.994, 97.442, 2.289
057, 2.378, 2.259, 20.759, 2.372, 2.261, 20.816, 2.376, 2.256, 20.728, 2.369, 2.259, 20.806, 2.258, 0.034, 0.064, 10.152, 99.060, 97.611, 2.258
058, 2.385, 2.320, 21.687, 2.388, 2.311, 21.559, 2.391, 2.329, 21.642, 2.389, 2.319, 21.607, 2.321, 0.036, 0.068, 10.234, 98.966, 97.489, 2.321
059, 2.375, 2.266, 20.431, 2.380, 2.262, 20.348, 2.371, 2.262, 20.409, 2.378, 2.268, 20.513, 2.265, 0.036, 0.057, 10.151, 98.872, 97.649, 2.265
060, 2.364, 2.235, 20.140, 2.365, 2.238, 20.147, 2.364, 2.242, 20.229, 2.366, 2.239, 20.120, 2.235, 0.031, 0.062, 10.098, 99.097, 97.517, 2.235
061, 2.366, 2.241, 20.510, 2.362, 2.241, 20.600, 2.364, 2.246, 20.696, 2.365, 2.244, 20.646, 2.241, 0.036, 0.061, 10.107, 99.125, 97.423, 2.241
062, 2.351, 2.229, 20.084, 2.351, 2.230, 20.070, 2.349, 2.230, 20.069, 2.354, 2.236, 20.111, 2.225, 0.037, 0.056, 10.041, 98.966, 97.668, 2.225
063, 2.361, 2.258, 20.640, 2.365, 2.252, 20.537, 2.365, 2.256, 20.571, 2.364, 2.255, 20.559, 2.249, 0.035, 0.059, 10.104, 99.050, 97.668, 2.249
064, 2.350, 2.214, 19.759, 2.350, 2.214, 19.730, 2.346, 2.215, 19.852, 2.347, 2.217, 19.829, 2.213, 0.031, 0.062, 10.023, 99.050, 97.677, 2.213
065, 2.350, 2.228, 20.090, 2.350, 2.223, 20.028, 2.347, 2.232, 20.140, 2.350, 2.232, 20.060, 2.227, 0.033, 0.058, 10.032, 99.003, 97.847, 2.227
066, 2.335, 2.198, 19.714, 2.334, 2.195, 19.679, 2.334, 2.199, 19.786, 2.333, 2.200, 19.763, 2.201, 0.034, 0.066, 9.972, 99.060, 97.329, 2.201
067, 2.340, 2.218, 19.568, 2.340, 2.216, 19.613, 2.341, 2.218, 19.625, 2.335, 2.209, 19.512, 2.217, 0.030, 0.062, 9.983, 99.163, 97.405, 2.217
068, 2.318, 2.162, 19.067, 2.314, 2.150, 18.955, 2.315, 2.162, 19.172, 2.318, 2.161, 19.123, 2.157, 0.031, 0.054, 9.871, 99.060, 97.865, 2.157
